name,wins,losses,height,weight,reach,stance,age,SLpM,sig_str_acc,SApM,str_def,td_avg,td_acc,td_def,sub_avg
Elias Garcia,6.0,2.0,165.1,56.7,170.18,Southpaw,31.0,1.59,0.27,5.05,0.5,0.68,0.14,0.33,1.4
Mizuto Hirota,18.0,10.0,170.18,70.31,170.18,Orthodox,42.0,3.36,0.4,3.5,0.54,1.36,0.5,0.58,0.1
Alex Gorgees,6.0,1.0,187.96,70.31,187.96,Switch,28.0,0.67,0.32,2.27,0.38,0.0,0.0,0.54,0.0
Justin Frazier,10.0,3.0,182.88,120.2,190.5,Southpaw,34.0,1.11,0.66,6.11,0.04,0.0,0.0,0.0,0.0
Bryan Caraway,21.0,9.0,172.72,61.23,172.72,Orthodox,39.0,2.53,0.34,3.61,0.54,2.57,0.25,0.8,0.8
Michel Batista,4.0,1.0,190.5,117.93,,Orthodox,39.0,0.0,0.0,4.03,0.4,6.72,0.5,0.0,0.0
Darrell Horcher,13.0,4.0,177.8,70.31,177.8,Southpaw,36.0,2.05,0.44,4.21,0.39,0.35,0.5,0.47,0.7
Ricky Rainey,12.0,6.0,185.42,77.11,195.58,Switch,40.0,2.55,0.48,2.62,0.46,0.95,0.18,0.55,0.0
Rashad Coulter,9.0,4.0,180.34,92.99,193.04,Orthodox,42.0,4.82,0.56,6.68,0.5,0.0,0.0,0.62,0.0
Yuta Sasaki,21.0,6.0,177.8,56.7,180.34,Southpaw,34.0,2.16,0.41,2.5,0.5,3.03,0.43,0.41,1.2
Devin Powell,9.0,4.0,182.88,70.31,185.42,Orthodox,36.0,2.88,0.41,3.67,0.51,0.0,0.0,0.0,0.6
Amanda Cooper,3.0,5.0,160.02,52.16,162.56,Switch,32.0,3.55,0.44,3.2,0.51,1.53,0.38,0.28,1.8
John Gunther,5.0,1.0,175.26,70.31,182.88,Orthodox,38.0,1.65,0.37,3.72,0.46,7.08,0.42,0.0,0.0
Joseph Morales,9.0,2.0,167.64,56.7,175.26,Switch,29.0,1.58,0.37,1.72,0.6,0.53,0.5,0.23,2.6
Joby Sanchez,11.0,4.0,167.64,61.23,172.72,Orthodox,32.0,3.22,0.36,2.82,0.63,0.95,0.71,0.51,0.4
Jason Knight,20.0,5.0,177.8,65.77,180.34,Orthodox,31.0,2.95,0.33,3.02,0.51,1.31,0.31,0.47,1.7
Adam Wieczorek,10.0,2.0,195.58,113.4,205.74,Orthodox,32.0,1.68,0.38,1.87,0.48,0.41,0.33,0.58,0.4
Artem Lobov,13.0,15.0,175.26,65.77,165.1,Southpaw,37.0,3.52,0.41,4.82,0.5,0.39,0.25,0.52,0.0
Alex Garcia,15.0,6.0,175.26,77.11,182.88,Orthodox,36.0,1.81,0.31,3.03,0.59,3.72,0.52,0.66,0.1
Thibault Gouti,12.0,5.0,177.8,70.31,182.88,Orthodox,37.0,3.68,0.34,5.64,0.5,1.23,0.8,0.83,0.3
Gray Maynard,13.0,7.0,175.26,70.31,177.8,Orthodox,44.0,1.92,0.32,2.64,0.66,2.91,0.47,0.81,0.7
Ryan LaFlare,14.0,3.0,185.42,77.11,187.96,Southpaw,40.0,2.89,0.4,1.86,0.63,2.13,0.44,0.58,0.2
Luis Henrique,10.0,5.0,187.96,110.22,187.96,Orthodox,30.0,1.81,0.43,2.22,0.47,3.09,0.36,0.5,1.0
Thales Leites,28.0,9.0,185.42,83.91,198.12,Orthodox,42.0,2.13,0.4,2.99,0.52,2.1,0.27,0.3,1.1
Hector Lombard,34.0,10.0,175.26,83.91,180.34,Southpaw,46.0,3.02,0.46,3.35,0.53,1.69,0.48,0.77,0.5
Alex Chambers,5.0,5.0,160.02,52.16,160.02,Southpaw,45.0,2.97,0.54,5.1,0.5,2.31,0.41,0.53,1.0
Khalid Murtazaliev,14.0,2.0,182.88,83.91,193.04,Orthodox,30.0,4.8,0.69,0.4,0.78,7.5,1.0,0.33,0.0
CB Dollaway,17.0,9.0,187.96,83.91,193.04,Orthodox,40.0,2.65,0.47,2.58,0.54,3.55,0.54,0.62,1.2
Kajan Johnson,23.0,13.0,180.34,70.31,190.5,Orthodox,39.0,2.47,0.42,1.59,0.64,1.54,0.37,0.62,0.2
Adam Yandiev,9.0,1.0,175.26,83.91,187.96,Orthodox,35.0,0.18,0.08,6.14,0.36,0.0,0.0,0.25,0.0
Jordan Johnson,10.0,0.0,187.96,92.99,200.66,Orthodox,35.0,3.45,0.47,2.64,0.53,3.25,0.42,1.0,1.2
Terrion Ware,17.0,9.0,172.72,61.23,180.34,Orthodox,37.0,4.02,0.32,6.07,0.5,0.5,0.22,0.44,0.0
Craig White,14.0,9.0,187.96,77.11,193.04,Orthodox,33.0,1.23,0.4,3.28,0.39,0.0,0.0,0.5,0.8
Robert Sanchez,8.0,2.0,167.64,56.7,167.64,Orthodox,38.0,0.96,0.4,1.78,0.46,3.61,0.62,0.5,0.7
Jarred Brooks,13.0,2.0,160.02,56.7,157.48,Switch,30.0,2.12,0.46,1.66,0.62,4.54,0.57,0.69,0.6
Jake Ellenberger,31.0,15.0,175.26,77.11,180.34,Orthodox,39.0,2.47,0.39,2.83,0.6,2.04,0.47,0.86,0.4
John Moraga,19.0,7.0,167.64,56.7,167.64,Orthodox,40.0,2.57,0.43,2.55,0.56,0.62,0.23,0.44,1.1
Tim Williams,15.0,5.0,187.96,83.91,193.04,Orthodox,37.0,3.07,0.38,3.55,0.48,1.81,0.4,1.0,0.0
Iuri Alcantara,35.0,10.0,175.26,61.23,180.34,Southpaw,43.0,2.72,0.45,2.79,0.49,1.44,0.62,0.6,0.8
George Sullivan,17.0,7.0,182.88,77.11,185.42,Orthodox,43.0,3.53,0.39,2.42,0.57,1.37,0.2,0.38,0.7
Kalindra Faria,18.0,8.0,170.18,56.7,,Switch,37.0,2.23,0.56,1.44,0.45,1.31,0.66,0.2,0.7
Jon Tuck,10.0,5.0,180.34,70.31,185.42,Orthodox,39.0,3.0,0.4,3.74,0.6,0.42,0.33,0.5,1.0
Demetrious Johnson,27.0,3.0,160.02,56.7,167.64,Orthodox,37.0,3.43,0.54,1.66,0.67,3.35,0.56,0.65,0.5
Jose Torres,8.0,1.0,162.56,56.7,165.1,Orthodox,31.0,4.37,0.36,9.84,0.5,1.28,0.33,0.75,0.0
Danielle Taylor,9.0,4.0,152.4,52.16,152.4,Orthodox,34.0,2.75,0.29,3.31,0.71,0.2,0.2,0.7,0.2
Eddie Alvarez,29.0,6.0,175.26,70.31,175.26,Orthodox,40.0,4.32,0.41,4.39,0.55,2.92,0.36,0.92,0.5
Jordan Mein,31.0,12.0,182.88,77.11,185.42,Orthodox,34.0,3.35,0.44,2.55,0.69,1.56,0.58,0.66,0.2
Alvaro Herrera Mendoza,9.0,6.0,182.88,70.31,187.96,Orthodox,33.0,1.89,0.38,3.4,0.55,0.0,0.0,0.33,1.1
Vitor Miranda,12.0,5.0,185.42,83.91,195.58,Orthodox,45.0,2.98,0.45,2.95,0.58,0.95,0.55,0.5,0.2
Jeremy Kimball,15.0,8.0,182.88,92.99,182.88,Switch,33.0,2.81,0.46,3.84,0.49,1.41,0.2,0.5,0.0
Damian Stasiak,10.0,6.0,165.1,61.23,177.8,Orthodox,34.0,1.86,0.36,3.1,0.52,2.64,0.35,0.43,0.6
Sage Northcutt,11.0,2.0,182.88,77.11,180.34,Orthodox,28.0,3.58,0.52,1.96,0.58,1.81,0.34,0.41,0.6
Justin Scoggins,11.0,5.0,170.18,56.7,167.64,Southpaw,31.0,3.56,0.51,2.16,0.55,3.42,0.63,0.82,0.5
Gokhan Saki,1.0,2.0,182.88,92.99,185.42,Orthodox,40.0,7.09,0.58,4.57,0.53,0.0,0.0,1.0,0.0
Jamie Moyle,4.0,3.0,154.94,52.16,165.1,Orthodox,35.0,4.51,0.51,4.0,0.65,1.0,0.21,0.5,0.0
Joe Giannetti,6.0,1.0,182.88,70.31,187.96,Southpaw,28.0,1.93,0.38,2.8,0.4,1.0,0.16,0.0,0.0
Jay Cucciniello,8.0,1.0,170.18,70.31,,Orthodox,37.0,0.93,0.21,4.73,0.36,0.0,0.0,0.71,0.0
Barb Honchak,10.0,4.0,162.56,56.7,165.1,Orthodox,44.0,4.04,0.3,4.67,0.66,0.0,0.0,0.0,1.3
Richie Smullen,3.0,1.0,175.26,70.31,172.72,Orthodox,32.0,1.98,0.77,2.26,0.65,8.49,0.66,0.0,0.0
Allan Zuniga,13.0,1.0,170.18,70.31,177.8,Orthodox,31.0,3.93,0.52,1.8,0.61,0.0,0.0,0.57,1.0
Tyler Diamond,9.0,1.0,170.18,65.77,175.26,Orthodox,33.0,3.4,0.47,2.53,0.44,3.0,0.75,0.7,0.0
Matt Bessette,22.0,9.0,177.8,65.77,177.8,Orthodox,39.0,4.36,0.41,4.45,0.58,0.64,0.28,0.61,0.3
Daichi Abe,6.0,2.0,180.34,77.11,180.34,Orthodox,32.0,3.8,0.33,4.49,0.56,0.33,0.5,0.0,0.0
Felipe Arantes,18.0,10.0,172.72,61.23,185.42,Orthodox,36.0,2.37,0.45,2.66,0.64,0.93,0.47,0.41,0.7
Rolando Dy,9.0,7.0,172.72,65.77,175.26,Orthodox,33.0,3.04,0.37,4.47,0.52,0.3,0.2,0.68,0.0
Shinsho Anzai,10.0,3.0,170.18,77.11,177.8,Orthodox,38.0,3.23,0.58,3.75,0.45,1.83,0.16,0.75,0.0
Viviane Pereira,13.0,2.0,154.94,52.16,160.02,Orthodox,30.0,2.7,0.3,4.48,0.58,0.25,1.0,0.28,0.2
Naoki Inoue,11.0,1.0,175.26,56.7,180.34,Orthodox,26.0,3.67,0.35,3.37,0.6,0.0,0.0,0.6,2.5
Jenel Lausa,7.0,5.0,165.1,56.7,172.72,Orthodox,35.0,1.44,0.42,3.53,0.53,0.55,0.66,0.51,0.8
Melinda Fabian,4.0,4.0,167.64,56.7,167.64,Orthodox,36.0,4.03,0.41,4.0,0.62,0.0,0.0,1.0,0.0
Rashad Evans,19.0,8.0,182.88,92.99,190.5,Orthodox,44.0,2.14,0.37,2.42,0.63,2.98,0.44,0.73,0.0
Mike Santiago,19.0,12.0,177.8,65.77,175.26,Orthodox,34.0,3.44,0.49,3.58,0.36,2.66,0.5,0.53,1.1
Gleison Tibau,33.0,14.0,177.8,70.31,180.34,Southpaw,40.0,1.95,0.31,2.51,0.63,4.08,0.53,0.92,0.8
Mads Burnell,9.0,3.0,172.72,65.77,175.26,Orthodox,30.0,1.28,0.41,2.71,0.51,3.45,0.47,0.22,0.4
Daniel Kelly,13.0,4.0,182.88,83.91,177.8,Southpaw,46.0,3.62,0.38,4.64,0.61,1.86,0.34,0.78,0.3
Brad Scott,11.0,6.0,185.42,77.11,193.04,Orthodox,34.0,3.52,0.41,4.31,0.57,0.32,0.15,0.63,0.7
Diego Rivas,10.0,2.0,172.72,65.77,175.26,Orthodox,32.0,1.37,0.4,2.14,0.52,1.79,0.6,0.64,0.9
Henry Briones,16.0,8.0,172.72,61.23,175.26,Orthodox,43.0,3.47,0.42,4.68,0.53,0.0,0.0,0.52,0.6
Felipe Silva,8.0,2.0,182.88,70.31,195.58,Orthodox,39.0,5.4,0.5,1.8,0.59,1.0,1.0,0.71,0.0
Vitor Belfort,26.0,14.0,182.88,83.91,187.96,Southpaw,46.0,1.59,0.46,2.83,0.5,1.02,0.6,0.53,0.6
Lyoto Machida,24.0,8.0,185.42,83.91,187.96,Southpaw,45.0,2.59,0.53,1.57,0.61,1.21,0.65,0.75,0.4
Alberto Mina,13.0,1.0,182.88,77.11,195.58,Orthodox,41.0,3.23,0.38,3.7,0.47,1.85,0.2,0.5,0.0
James Bochnovic,8.0,3.0,193.04,92.99,205.74,Orthodox,35.0,0.65,0.26,3.64,0.21,0.0,0.0,0.0,0.0
Luan Chagas,15.0,3.0,182.88,77.11,190.5,Orthodox,30.0,4.16,0.47,3.19,0.62,0.32,0.12,0.85,0.3
Patrick Williams,8.0,6.0,172.72,61.23,185.42,Orthodox,42.0,4.12,0.51,4.12,0.52,2.71,0.41,1.0,0.5
Bec Rawlings,7.0,8.0,167.64,56.7,162.56,Orthodox,35.0,4.48,0.42,5.66,0.57,0.71,0.4,0.68,0.4
Tom Duquesnoy,16.0,2.0,170.18,61.23,172.72,Orthodox,30.0,3.83,0.45,5.3,0.62,0.42,0.25,0.46,0.0
Oliver Enkamp,7.0,2.0,182.88,77.11,195.58,Switch,32.0,2.38,0.36,3.55,0.37,0.87,0.16,0.0,0.0
Mark Godbeer,13.0,4.0,193.04,108.86,195.58,Orthodox,40.0,3.97,0.53,3.3,0.54,0.0,0.0,0.28,0.0
Dmitry Sosnovskiy,11.0,0.0,190.5,108.86,195.58,Orthodox,34.0,2.95,0.7,2.53,0.35,3.16,0.66,1.0,3.2
Mike Pyle,27.0,14.0,182.88,77.11,187.96,Orthodox,48.0,2.74,0.45,2.84,0.6,1.8,0.35,0.7,1.5
Russell Doane,15.0,8.0,170.18,61.23,177.8,Orthodox,37.0,1.75,0.4,1.68,0.53,2.11,0.45,0.52,0.8
Albert Morales,7.0,4.0,175.26,61.23,182.88,Orthodox,32.0,3.81,0.35,3.96,0.56,0.91,0.35,0.7,0.2
Brian Camozzi,7.0,5.0,187.96,77.11,198.12,Orthodox,32.0,3.15,0.26,6.39,0.54,0.0,0.0,0.0,0.7
Joshua Burkman,28.0,16.0,177.8,77.11,182.88,Orthodox,43.0,2.69,0.43,3.13,0.51,2.53,0.36,0.72,0.3
Cyril Asker,9.0,4.0,182.88,112.04,187.96,Orthodox,38.0,3.35,0.39,5.82,0.35,4.41,0.62,1.0,0.9
Damien Brown,17.0,12.0,177.8,70.31,172.72,Orthodox,39.0,3.66,0.38,4.86,0.5,0.68,0.27,0.53,0.7
Rob Wilkinson,11.0,2.0,190.5,83.91,203.2,Orthodox,32.0,2.74,0.5,5.66,0.39,4.47,0.25,0.0,0.0
Jeremy Kennedy,11.0,1.0,180.34,65.77,180.34,Orthodox,31.0,2.22,0.46,2.58,0.47,5.73,0.52,0.66,0.0
Timothy Johnson,12.0,4.0,190.5,120.2,195.58,Southpaw,39.0,3.43,0.45,3.08,0.44,1.09,0.24,0.69,0.0
Maia Stevenson,6.0,5.0,162.56,52.16,157.48,Orthodox,42.0,1.57,0.54,3.13,0.33,3.91,1.0,0.5,0.0
Joe Soto,18.0,7.0,167.64,61.23,165.1,Orthodox,37.0,3.36,0.41,5.37,0.67,0.85,0.21,0.7,1.9
Godofredo Pepey,13.0,6.0,170.18,65.77,185.42,Orthodox,36.0,2.32,0.38,3.23,0.47,0.37,0.07,0.35,1.5
Juliana Lima,9.0,5.0,165.1,52.16,165.1,Orthodox,42.0,1.94,0.44,2.11,0.55,1.72,0.31,0.7,0.0
Francimar Barroso,19.0,7.0,185.42,92.99,190.5,Orthodox,44.0,2.77,0.52,3.07,0.59,2.22,0.24,0.83,0.0
Sabah Homasi,11.0,8.0,182.88,77.11,182.88,Orthodox,35.0,4.98,0.48,6.91,0.47,2.8,0.5,0.66,0.0
Galore Bofando,5.0,3.0,180.34,77.11,182.88,Switch,41.0,3.63,0.45,3.63,0.54,2.37,1.0,0.5,0.0
Abel Trujillo,15.0,8.0,172.72,70.31,177.8,Orthodox,40.0,2.65,0.41,2.31,0.59,2.18,0.45,0.4,0.4
Oluwale Bamgbose,6.0,4.0,180.34,83.91,198.12,Switch,36.0,2.45,0.48,2.7,0.55,0.94,0.33,0.37,0.0
Erick Silva,19.0,9.0,182.88,77.11,187.96,Orthodox,39.0,2.5,0.48,4.18,0.49,0.85,0.35,0.56,1.4
Carls John De Tomas,6.0,2.0,165.1,56.7,180.34,Southpaw,27.0,1.74,0.37,3.93,0.44,1.37,0.33,0.66,0.0
Antonio Braga Neto,9.0,3.0,190.5,83.91,195.58,Orthodox,36.0,1.36,0.33,3.92,0.45,3.07,0.37,0.0,0.5
Angela Magana,11.0,9.0,154.94,52.16,165.1,Orthodox,40.0,1.53,0.28,4.92,0.42,0.4,0.25,0.28,0.4
Christina Marks,8.0,9.0,170.18,56.7,175.26,Orthodox,38.0,5.0,0.58,3.0,0.64,7.5,1.0,0.0,0.0
Ryan Janes,10.0,3.0,190.5,83.91,193.04,Orthodox,42.0,7.69,0.48,5.53,0.59,0.35,1.0,0.58,0.0
Karine Gevorgyan,3.0,3.0,162.56,56.7,160.02,,35.0,1.2,0.2,1.8,0.76,0.0,0.0,0.0,0.0
Ariel Beck,4.0,5.0,167.64,56.7,167.64,Southpaw,33.0,4.44,0.34,4.31,0.64,0.0,0.0,0.0,0.0
Michael Bisping,30.0,9.0,185.42,83.91,190.5,Orthodox,45.0,4.33,0.38,2.71,0.65,1.05,0.43,0.63,0.3
Wang Guan,20.0,1.0,175.26,65.77,180.34,Orthodox,38.0,4.73,0.43,3.27,0.6,0.0,0.0,0.0,0.0
Bobby Nash,8.0,4.0,182.88,77.11,187.96,Orthodox,34.0,3.42,0.37,3.95,0.51,2.37,0.33,1.0,1.6
Kailin Curran,4.0,5.0,162.56,52.16,165.1,Orthodox,32.0,3.89,0.43,4.75,0.53,2.0,0.57,0.61,0.6
Bharat Kandare,5.0,3.0,170.18,61.23,182.88,Orthodox,36.0,0.7,0.1,1.88,0.72,0.0,0.0,0.0,0.0
Bojan Velickovic,15.0,6.0,182.88,77.11,193.04,Southpaw,35.0,2.18,0.34,2.31,0.57,0.67,0.25,0.55,0.5
Ashkan Mokhtarian,13.0,3.0,167.64,56.7,170.18,Southpaw,38.0,1.95,0.43,3.66,0.43,0.54,0.16,0.33,0.0
Will Brooks,18.0,4.0,177.8,70.31,182.88,Orthodox,37.0,4.26,0.59,2.54,0.56,2.08,0.51,0.82,0.3
Anthony Hamilton,15.0,9.0,195.58,117.93,193.04,Orthodox,43.0,3.91,0.65,3.02,0.45,2.62,0.42,0.78,0.0
Nate Marquardt,35.0,19.0,182.88,83.91,187.96,Orthodox,44.0,2.71,0.49,2.32,0.55,1.87,0.51,0.7,0.8
Michel Quinones,8.0,3.0,177.8,70.31,185.42,Orthodox,39.0,2.91,0.29,5.98,0.48,0.0,0.0,0.36,0.0
Marcel Fortuna,9.0,3.0,185.42,92.99,187.96,Orthodox,38.0,3.83,0.46,4.52,0.64,0.45,0.08,0.75,0.5
Georges St-Pierre,26.0,2.0,180.34,83.91,193.04,Orthodox,42.0,3.78,0.53,1.4,0.72,4.16,0.74,0.83,1.1
Johny Hendricks,18.0,8.0,175.26,83.91,175.26,Southpaw,40.0,3.49,0.45,3.99,0.53,3.83,0.46,0.63,0.3
Hacran Dias,23.0,6.0,172.72,70.31,175.26,Orthodox,39.0,2.08,0.41,3.31,0.55,2.5,0.39,0.76,0.5
Christian Colombo,8.0,3.0,195.58,120.2,,Orthodox,43.0,2.76,0.44,4.02,0.42,0.0,0.0,0.33,0.0
Jonathan Wilson,7.0,3.0,187.96,92.99,190.5,Southpaw,36.0,2.92,0.48,5.65,0.56,0.37,1.0,0.8,0.0
Marcin Held,23.0,7.0,175.26,70.31,180.34,Orthodox,32.0,1.41,0.34,2.02,0.47,2.46,0.46,0.37,1.3
Pearl Gonzalez,6.0,3.0,162.56,52.16,,Orthodox,37.0,2.23,0.37,4.07,0.57,1.04,0.11,0.0,0.5
Marco Beltran,8.0,6.0,172.72,56.7,175.26,Orthodox,37.0,2.07,0.37,1.93,0.63,0.7,0.5,0.46,0.2
Takanori Gomi,35.0,14.0,170.18,70.31,177.8,Southpaw,45.0,3.81,0.41,3.52,0.6,1.23,0.65,0.63,0.8
Henrique da Silva,14.0,5.0,190.5,92.99,193.04,Orthodox,34.0,3.89,0.6,5.28,0.4,0.25,0.14,0.22,0.2
Chan-Mi Jeon,5.0,2.0,165.1,52.16,,Orthodox,26.0,6.23,0.31,7.77,0.55,0.0,0.0,0.0,0.0
Hyun Gyu Lim,13.0,7.0,190.5,77.11,195.58,Orthodox,39.0,4.45,0.41,5.07,0.51,0.23,1.0,0.73,0.2
Azunna Anyanwu,14.0,5.0,185.42,113.85,,Orthodox,42.0,2.47,0.42,2.47,0.69,0.65,1.0,0.0,0.0
Jason Saggo,12.0,4.0,180.34,70.31,180.34,Orthodox,38.0,2.5,0.39,2.94,0.52,2.33,0.4,0.23,0.0
Mitch Clarke,11.0,5.0,177.8,70.31,185.42,Orthodox,38.0,2.35,0.34,3.27,0.47,0.64,0.15,0.5,0.4
Adriano Martins,28.0,9.0,177.8,70.31,182.88,Southpaw,41.0,1.8,0.38,2.14,0.65,0.83,0.8,0.81,0.4
Bojan Mihajlovic,10.0,6.0,180.34,92.99,185.42,Orthodox,43.0,1.23,0.35,5.95,0.47,0.0,0.0,0.33,0.0
Abdul-Kerim Edilov,17.0,4.0,187.96,92.99,,Orthodox,32.0,10.22,0.61,0.13,0.92,3.98,1.0,0.0,2.0
Andrew Holbrook,12.0,3.0,180.34,70.31,177.8,Southpaw,38.0,2.2,0.49,3.0,0.54,0.85,0.18,0.1,2.1
Hector Sandoval,14.0,4.0,157.48,56.7,162.56,Orthodox,37.0,3.31,0.52,2.33,0.65,3.49,0.25,0.71,1.4
Rafael Natal,21.0,9.0,182.88,83.91,195.58,Orthodox,41.0,3.1,0.47,2.48,0.57,2.55,0.34,0.77,0.5
Damian Grabowski,20.0,5.0,185.42,109.32,190.5,Orthodox,43.0,4.0,0.36,7.65,0.51,0.0,0.0,0.0,0.0
Frankie Perez,10.0,4.0,180.34,70.31,185.42,Orthodox,34.0,1.64,0.41,2.17,0.54,1.75,0.41,0.5,0.3
Chris Wade,12.0,3.0,177.8,70.31,177.8,Orthodox,36.0,1.7,0.53,1.75,0.51,2.6,0.51,0.55,1.1
James Mulheron,11.0,2.0,177.8,110.22,185.42,Orthodox,36.0,2.4,0.31,3.47,0.42,0.0,0.0,0.25,0.0
Neil Seery,16.0,13.0,162.56,56.7,162.56,Orthodox,44.0,3.56,0.41,3.79,0.58,0.78,0.27,0.53,1.6
Charlie Ward,3.0,3.0,180.34,77.11,,Orthodox,43.0,1.64,0.19,7.21,0.53,0.0,0.0,0.0,0.0
Leslie Smith,10.0,7.0,175.26,61.23,167.64,Orthodox,41.0,7.56,0.4,8.41,0.51,0.0,0.0,0.62,0.0
Daniel Omielanczuk,19.0,8.0,182.88,112.04,187.96,Southpaw,41.0,3.09,0.57,3.29,0.47,0.56,0.26,0.68,0.1
Travis Browne,18.0,7.0,198.12,115.67,200.66,Orthodox,41.0,2.93,0.41,4.31,0.42,1.21,0.68,0.75,0.2
Jesse Taylor,31.0,15.0,182.88,77.11,185.42,Orthodox,41.0,1.94,0.65,0.55,0.38,7.28,0.5,1.0,3.1
Nick Roehrick,7.0,1.0,187.96,92.99,,Orthodox,36.0,2.31,0.17,6.92,0.44,0.0,0.0,0.0,0.0
Tom Gallicchio,19.0,10.0,177.8,77.11,,Southpaw,37.0,3.53,0.26,7.07,0.43,1.0,0.11,0.0,0.0
Joachim Christensen,14.0,6.0,190.5,92.99,193.04,Orthodox,45.0,3.78,0.41,3.29,0.46,0.0,0.0,0.0,0.0
Dennis Siver,23.0,11.0,167.64,65.77,177.8,Orthodox,45.0,3.87,0.32,2.67,0.65,0.87,0.32,0.65,0.3
Johnny Case,22.0,6.0,177.8,70.31,182.88,Orthodox,34.0,3.95,0.38,2.66,0.61,1.7,0.45,0.72,0.2
Josh Stansbury,4.0,8.0,187.96,92.99,187.96,Orthodox,39.0,3.22,0.54,3.54,0.54,0.0,0.0,0.87,1.0
Dong Hyun Kim,22.0,4.0,187.96,77.11,193.04,Southpaw,42.0,2.12,0.49,1.89,0.58,2.93,0.43,0.71,0.6
Tarec Saffiedine,16.0,7.0,177.8,77.11,177.8,Switch,37.0,4.05,0.47,3.06,0.62,0.52,0.36,0.84,0.1
Kwan Ho Kwak,9.0,2.0,165.1,61.23,,Switch,34.0,3.29,0.41,3.45,0.47,0.78,1.0,0.26,0.0
Dominique Steele,14.0,9.0,177.8,77.11,187.96,Orthodox,36.0,2.32,0.49,2.42,0.5,2.95,0.42,0.76,0.0
Kiichi Kunimoto,18.0,7.0,177.8,77.11,180.34,Orthodox,42.0,1.87,0.44,3.92,0.41,1.59,0.2,0.28,0.3
Jim Wallhead,29.0,11.0,177.8,77.11,,Orthodox,40.0,3.19,0.26,6.65,0.49,0.0,0.0,1.0,0.0
Alex Nicholson,7.0,4.0,193.04,83.91,195.58,Orthodox,33.0,4.12,0.43,4.65,0.47,0.0,0.0,0.5,0.5
Chris Camozzi,24.0,13.0,187.96,83.91,190.5,Orthodox,37.0,3.57,0.44,2.96,0.56,0.27,0.19,0.57,0.5
Reza Madadi,14.0,6.0,180.34,70.31,185.42,Orthodox,45.0,2.51,0.46,3.31,0.66,3.17,0.33,0.89,0.5
Nicholas Musoke,13.0,5.0,182.88,77.11,190.5,Orthodox,37.0,3.56,0.35,3.8,0.57,1.16,0.19,0.82,0.2
Michael McBride,8.0,3.0,185.42,70.31,,Orthodox,38.0,4.08,0.48,5.85,0.4,1.85,0.42,0.3,1.2
Cindy Dandois,8.0,3.0,170.18,61.23,,Orthodox,39.0,3.13,0.32,3.4,0.58,5.0,0.55,0.0,0.0
Joe Proctor,11.0,5.0,177.8,70.31,182.88,Orthodox,38.0,3.39,0.36,3.93,0.59,0.0,0.0,0.7,1.8
Roy Nelson,22.0,14.0,182.88,119.29,185.42,Orthodox,47.0,2.18,0.36,4.79,0.46,1.14,0.27,0.65,0.1
Rashid Magomedov,20.0,2.0,175.26,70.31,177.8,Orthodox,39.0,4.4,0.49,3.05,0.54,0.67,0.57,0.89,0.2
Augusto Mendes,6.0,2.0,167.64,61.23,165.1,Orthodox,41.0,2.42,0.34,3.91,0.56,1.75,0.33,0.8,0.0
Nathan Coy,15.0,7.0,177.8,77.11,175.26,Southpaw,45.0,3.88,0.52,2.4,0.61,3.17,0.47,0.5,0.0
Anthony Johnson,22.0,6.0,187.96,92.99,198.12,Orthodox,40.0,3.25,0.47,1.83,0.6,2.43,0.57,0.77,0.6
Gegard Mousasi,42.0,6.0,187.96,83.91,193.04,Orthodox,38.0,3.75,0.5,1.21,0.68,1.59,0.6,0.59,1.1
Patrick Cote,23.0,11.0,180.34,77.11,190.5,Orthodox,44.0,2.81,0.48,3.21,0.48,0.68,0.2,0.43,0.2
Mike de la Torre,14.0,7.0,180.34,65.77,180.34,Orthodox,37.0,3.21,0.39,4.75,0.51,0.36,0.16,0.83,0.0
Brad Pickett,25.0,14.0,167.64,61.23,172.72,Orthodox,45.0,3.02,0.31,4.63,0.55,2.47,0.44,0.58,0.4
Scott Askham,14.0,4.0,190.5,83.91,190.5,Southpaw,35.0,3.03,0.46,3.52,0.52,0.44,0.18,0.65,0.7
Rony Jason,14.0,7.0,170.18,65.77,185.42,Orthodox,40.0,2.04,0.44,3.14,0.53,0.59,0.3,0.36,0.8
Garreth McLellan,13.0,6.0,185.42,83.91,182.88,Southpaw,41.0,3.56,0.54,2.94,0.45,1.15,0.22,0.34,0.9
Sam Sicilia,15.0,8.0,172.72,65.77,170.18,Orthodox,38.0,2.46,0.33,3.55,0.59,1.45,0.43,0.7,0.9
Alex Ricci,10.0,5.0,180.34,70.31,,Orthodox,41.0,2.48,0.41,2.53,0.64,0.0,0.0,0.64,0.0
Reginaldo Vieira,13.0,5.0,170.18,61.23,165.1,Orthodox,41.0,3.76,0.4,2.89,0.59,1.97,0.27,0.25,0.8
Phillipe Nover,11.0,8.0,175.26,65.77,182.88,Orthodox,40.0,1.79,0.35,2.48,0.56,0.99,0.28,0.44,0.7
Roan Carneiro,21.0,11.0,180.34,77.11,193.04,Orthodox,45.0,1.46,0.46,1.82,0.62,3.05,0.42,0.83,1.4
Michinori Tanaka,11.0,3.0,165.1,61.23,170.18,Orthodox,33.0,1.97,0.37,1.99,0.5,2.4,0.38,0.43,0.2
